List	Term	Proposed Definition 1	Proposed Definition 2
Core	Observation	The Belief updating of an Internal State registered by a Sensory input, given the weighting assigned to that class of input in comparison with weighting of the competing Priors. (This is a narrow sense of “observation,” where the Agent is “looking for this kind of input.” This sense excludes situations where (a) an incoming stimulus with these attributes has already been explained-away or pre-discounted, or (b) the prior is so strongly weighted as to exclude updating in response to any inputs (other than, perhaps, “catastrophic” ones, as may occur in e.g. fainting, hysterical blindness).)	Any Sensory input, either discrete-valued or continuous-valued. (This is a broad sense.)
Core	Particle	An Agent consisting of Blanket States and Internal State , partitioned off from Niche .	
Core	Perception	Posterior State Inference after each new Observation.	
Core	Policy	Sequence of Actions, reflected by series of Active States as implemented in Policy selection which is Action prediction or Action and Planning as Divergence Minimization	
Core	Policy selection	The process of an Agent engaging in Action planning from set of Affordance, in Active Inference based upon minimization of Expected Free Energy	
Core	Posterior	The Update to the Prior after Observation has occurred	
Core	Pragmatic value	Pragmatic value is the benefit to an organism of a given Policy or Action , measured in terms of probability of a Policy leading to Expectation of Random variable values that are aligned with the Preference of the Agent	Pragmatic value describes the extent to which a given action is aligned with rewarding preferences over sensory outcomes.
Core	Prediction	An Estimator about a State in a Model at a future time.	
Core	Preference	parameter in Bayesian Inference Markov Decision Process that ranks or scores the extent to how an Agent values Sensory input .	
Core	Prior	The initial or preceding state of a Belief in Bayesian Inference, before Sensory Data (Observation or Evidence ) occurs.	
Core	Process Theory	Dynamic or mechanistic Model or framework that is consistent with a broader or non-mechanistic/non-operational Principle, such as the Free Energy Principle .	
Core	Recognition Model	Recognition Model is the kind of Model that affords Variational Inference, which lets us calculate or approximate a probability distribution. Recognition Model is a synonym for Variational Model.	
Core	Regime of Attention	feedback mechanisms between practices in a Culture of scaffolding individuals’ Attention, that guide Agents’ style of Attention; act as determined by bodily, language, and contextual Cues in a given community; and are encoded in higher levels of the cortical hierarchy.	
Core	Representation	A structural correspondence between some Random variable inside a System and some Random variable outside the System (isomorphism being the strongest kind of correspondence), such that the Systemengages in Inference carried out by the System maintains the correspondence	
Core	Salience	The extent to which a Cue commands the Attention of an Agent given their Regime of Attention	
Core	Sense States	In the Friston Blanket formalism, the Blanket States are the Sense States (incoming Sensory input) and Active States (outgoing influence of Policy selection )	
Core	State	is the statistical, computational, or mathematical value for a parameter within the State space of a Model .	
Core	State space	Set of variables/parameters that describe a System .	A state space is the set of all possible configurations of a system
Core	Stationarity	Of a Random variable , that it is described by parameters that are drawn from a Gaussian distribution and unchanging over the time horizon of analysis.	
Core	Surprise	In Bayesian Inference , the difference between Prior and Posterior Distribution — how “surprising” Sensory Data are to the Generative model of the Agent	
Core	System	Set of relations described by State space of a Model .	Differentiable and Integratable in terms of Variables and functions.
Core	Temporal Depth	The length of a time window or horizon considered (longer time → deeper / more Temporal Depth )	
Core	Uncertainty	In Bayesian Inference , a measure of the Expectation of Surprise (Entropy) of a Random variable (associated with its variance or inverse Precision )	
Core	Variational	Biologically: Said of the behavior of aNeuronal Ensemble that minimizes the error of quantities selected by that ensemble, by implementing an algorithm that approximates calculus of variations.	Mathematically: Using calculus of variationsto find functions that optimize the values of quantities that depend on those functions.
Core	Variational Free Energy	Measure that performs e.g. Inference on Sensory Data given a Generative model , F. The two sources that composeVariational Free Energy are Model overfitting and Model accuracy	
Entailed	active		
Entailed	area		
Entailed	backbone		
Entailed	brain		
Entailed	causality		
Entailed	computer		
Entailed	concentration		
Entailed	concept		
Entailed	condition		
Entailed	consensus		
Entailed	conversation		
Entailed	current		
Entailed	default-mode		
Entailed	dynamics		
Entailed	ego		
Entailed	energy		
Entailed	environment		
Entailed	error		
Entailed	feedback		
Entailed	field		
Entailed	framework		
Entailed	free	For no cost.	Able to be liberated.
Entailed	genetic		
Entailed	hierarchical		
Entailed	idea		
Entailed	increase		
Entailed	influence		
Entailed	interpretation		
Entailed	inverse		
Entailed	language		
Entailed	Logic		
Entailed	machine		
Entailed	matrix		
Entailed	neuronal		
Entailed	object		
Entailed	objective		
Entailed	observer		
Entailed	Ontology-to-Model Link		
Entailed	opportunity		
Entailed	parameter		
Entailed	part		
Entailed	perceptual inference		
Entailed	perspective		
Entailed	phase		
Entailed	physics		
Entailed	play		
Entailed	probability		
Entailed	Probably Approximately Correct		
Entailed	problem		
Entailed	propositional		
Entailed	Propositional attitude		
Entailed	Psychological attitude		
Entailed	purpose		
Entailed	question		
Entailed	random		
Entailed	recognition		
Entailed	relative entropy	Synonym for Divergence (Kullback–Leibler)	relative entropy
Entailed	represents	SUMO relation (represents ?THING ?ENTITY) means that ?THING in some way indicates, expresses, connotes, pictures, describes, etc. ?ENTITY. The Predicates containsInformation and realization are subrelations of represents.	
Entailed	resource		
Entailed	role		
Entailed	science		
Entailed	selection		
Entailed	self-organization		
Entailed	situation		
Entailed	social		
Entailed	states		
Entailed	Stimulus		
Entailed	technology		
Entailed	Thing		
Entailed	transition		
Entailed	tree		
Entailed	understanding		
Supplement	Abstract Action		
Supplement	Abstract action prediction		
Supplement	Abstract Bayesian Inference		
Supplement	Abstract epistemic value		
Supplement	Abstract External State		
Supplement	Abstract Generative Model		
Supplement	Abstract Hidden State		
Supplement	Abstract Internal State		
Supplement	Abstract Sensory State		
Supplement	Abstract System		
Supplement	AbstractAccuracy		
Supplement	abstractCounterpart	(abstractCounterpart ?AB ?PHYS) relates a Physical entity to an Abstract one which is an idealized model in some dimension of the Physical entity.	Example: an Abstract GraphNode could be stated to be the counterpart of an actual Computer in a ComputerNetwork.
Supplement	Action and Planning as Divergence Minimization		
Supplement	Action at a distance		
Supplement	Action Integral		
Supplement	Active learning		
Supplement	active processes		
Supplement	Active Vision	refers to the process of visual perceptions, in terms of oculomotor Sensorimotor Behavior and Cognitive System Generative model	refers to regime of visual perceptions through dynamical perturbations of light over the retina. As if feeling the textured light reflected off the niche surfaces
Supplement	Agency based model		
Supplement	Agency free model		
Supplement	Algorithm		
Supplement	Alignment		
Supplement	analogy		
Supplement	Appraisal theories of emotion		
Supplement	Attenuation of response		
Supplement	Attracting set		
Supplement	Augmented reality		
Supplement	Autopoiesis	Phenomena of a System that recapitulates the material and informational causes of its own composition/existence.	
Supplement	Bayes-optimal control		
Supplement	Bayesian		
Supplement	Bayesian belief updating		
Supplement	Bayesian Brain		
Supplement	Bayesian mechanics		
Supplement	Bayesian surprise		
Supplement	Bethe approximation		
Supplement	Bottom-up attentional control		
Supplement	changing mind (cognition)		
Supplement	changing world (action)		
Supplement	chaos		
Supplement	Circular causality		
Supplement	Coarse graining		
Supplement	Cognitive Science		
Supplement	Cognitive System		
Supplement	Cognitivism		
Supplement	Collective behavior		
Supplement	Conceptual metaphor		
Supplement	Conditional density		
Supplement	Conditional Probability		
Supplement	Confidence		
Supplement	Congruence		
Supplement	Connectionism		
Supplement	Continuous state space		
Supplement	Control (states)		
Supplement	Control theory		
Supplement	Counterfactual		
Supplement	Cybernetics		
Supplement	Decision-making	Within Active Inference , this is the same as Policy selection	
Supplement	Density		
Supplement	Deontic Action		
Supplement	Development		
Supplement	Discrete state space		
Supplement	Dissisipation		
Supplement	Distribution		
Supplement	divergence		
Supplement	Divergence (Kullback–Leibler)		
Supplement	Domain		
Supplement	Domain-generality		
Supplement	Domain-specificity		
Supplement	Dynamic causal modelling		
Supplement	Dynamic expectation maximization		
Supplement	Dynamicism		
Supplement	Ecology		
Supplement	Ecology, Evolution, Development		
Supplement	Embedded Embodied Encultured Enactive Inference		
Supplement	Embodied Cybernetic Complexity		
Supplement	EmbodiedBelief		
Supplement	Emotion		
Supplement	Empirical prior		
Supplement	Enactivism		
Supplement	Entropy		
Supplement	Epistemic foraging		
Supplement	Ergodicity		
Supplement	Estimator		
Supplement	Event-related potential (ERP)		
Supplement	Evolution		
Supplement	Expectation maximization		
Supplement	Expected Utility Theory		
Supplement	Experience of body ownership (EBO)		
Supplement	Explaining Away		
Supplement	Explanation		
Supplement	Extended Cognition		
Supplement	Factor graph		
Supplement	Falsification		
Supplement	Far-from-equilibrium		
Supplement	Fokker-Planck Equation		
Supplement	Foraging		
Supplement	Forney		
Supplement	Friction		
Supplement	Friston's Law		
Supplement	functional magnetic resonance imaging (fMRI)		
Supplement	Gaussian distribution		
Supplement	Generalized coordinates		
Supplement	Generalized Synchrony		
Supplement	Generative density		
Supplement	Generative modelling		
Supplement	Gestalt		
Supplement	Goal-driven selection		
Supplement	Gradient Descent		
Supplement	Graphical		
Supplement	Group Renormalization Theory		
Supplement	Guidance signal		
Supplement	Habit learning/formation		
Supplement	Hamilton's Principle of Least Action		
Supplement	Helmholtz machine		
Supplement	Hermeneutics		
Supplement	Hierarchically Mechanistic Mind		
Supplement	High road		
Supplement	Homeostasis		
Supplement	Homeostatic system		
Supplement	Homeostatic system		
Supplement	Hyperprior		
Supplement	Hypothesis		
Supplement	Information bottleneck		
Supplement	Instrumentalism		
Supplement	Interface		
Supplement	Interoception		
Supplement	Interoceptive sensitivity		
Supplement	Interpretation		
Supplement	Inverse problem		
Supplement	Lagrangian		
Supplement	Latent cause		
Supplement	Lateral geniculate nucleus		
Supplement	Least action		
Supplement	Likelihood		
Supplement	link		
Supplement	Low road		
Supplement	Marginal approximation		
Supplement	Markovian Monism	Markovian Monism	
Supplement	Marr's Levels of Description		
Supplement	Material science		
Supplement	Mean		
Supplement	Mean field approximation		
Supplement	Memory		
Supplement	Message Passing		
Supplement	Mismatch negativity		
Supplement	Mode		
Supplement	Model		
Supplement	Model accuracy		
Supplement	Model Inversion	Model Inversion	
Supplement	Morphogenesis		
Supplement	Multisensory integration		
Supplement	Network		
Supplement	Neuronal Ensemble		
Supplement	Niche construction		
Supplement	Noisy signal		
Supplement	Non-linear dynamical systems		
Supplement	normative		
Supplement	Optimal control		
Supplement	overfitting		
Supplement	Partially Observed Markov Decision Process (POMDP)		
Supplement	Partition		
Supplement	Path integral		
Supplement	Policy posterior		
Supplement	Policy prior		
Supplement	Precision		
Supplement	Prediction error		
Supplement	Prediction error minimization		
Supplement	Predictive Coding		
Supplement	predictive machine		
Supplement	Predictive Processing		
Supplement	Principle	Principle	
Supplement	Probability distribution		
Supplement	Random variable		
Supplement	Realism	Realism	
Supplement	Receptive field		
Supplement	Recognition density		
Supplement	Renormalization		
Supplement	Representationalism		
Supplement	Reservoir Computing		
Supplement	Reward		
Supplement	Risk	Risk	
Supplement	Sample space		
Supplement	Selection bias		
Supplement	Selection history		
Supplement	Self-organization		
Supplement	Selfhood		
Supplement	Semi-Markovian		
Supplement	Sense of agency		
Supplement	Sensorimotor		
Supplement	Sensory attenuation		
Supplement	Sensory attenuation		
Supplement	Sensory Data		
Supplement	Sensory input		
Supplement	Sensory observation		
Supplement	Sensory outcome		
Supplement	Sentience		
Supplement	Shared Generative Model		
Supplement	Signal		
Supplement	Simulation		
Supplement	solenoidal		
Supplement	Sophisticated Inference		
Supplement	spike-timing dependent plasticity		
Supplement	Statistical manifold		
Supplement	Stigmergy		
Supplement	Stochastic		
Supplement	Subjective feeling states		
Supplement	Surprisal		
Supplement	Swarm		
Supplement	Symbol		
Supplement	Synergetics		
Supplement	Teams		
Supplement	Theory		
Supplement	Thermodynamic system		
Supplement	Thermostatistics		
Supplement	Thinking Through Other Minds		
Supplement	Top-down attentional control		
Supplement	Umwelt		
Supplement	Unidirectionality		
Supplement	Update		
Supplement	Variance		
Supplement	Variational message passing		
Supplement	Variational Niche Construction		
Supplement	Variational principle		
Supplement	Von Economo neurons		
Supplement	Weak mixing		
Supplement	Working memory		
Supplement	World States		
