List,Tag,Term,Proposed Definition 1,Proposed Definition 2,Correct Examples,Incorrect Examples,Connections
Core,Action,Preference,"parameter in Bayesian Inference Markov Decision Process that ranks or scores the extent to how an Agent values Sensory input .  ",,"The Generative Model of the bacteria underwent parameter fitting (Belief updating / Learning ) on Action , guided by a Preference for medium but not high/low sugar concentration. ","All Action results in Agents that realize their Preference in terms of Sensory outcome . ","In the Discrete state space formulation of Active Inference, the Preferences or habits of an Agent can be encapsulated in a Prior Preference Distribution, a target distribution of States the agent wishes to end up due to its phenotype and other habits it has picked up throughout its existence."
Core,Free Energy,Active Inference,Active Inference is a Process Theory related to Free Energy Principle .,,"It is fun and rewarding to learn and apply Active Inference as a framework for Perception, Cognition , and Action . ",,The conclusion of Active Inference is a Hypothesis (conjecture) about the feasibility of adopting certain Policy (strategy profiles) that the Agent makes a Generative Model with Temporal Depth.
Core,Free Energy,Expected Free Energy,"Measure for performing Inference on Action over a given time horizon (Policy selection , Action and Planning as Divergence Minimization ). ","The two components of Expected Free Energy are the imperative to  satisfy Preferences, and the penalty for failing to minimize Expectation  of Surprisal.",The deep affective Inference Agent used Expected Free Energy calculation as a basis of Policy selection .,"The amount of calories that the Living system has at Non-Equilibrium Steady State is the Expected Free Energy . ","Expected Free Energy can be seen as.... "
Core,Free Energy,Free Energy,"Free Energy is an Information Theoretic quantity that constitutes an upper bound on Surprisal . 

","Free Energy can refer to various or multiple sub-types of Free Energy: 

* Variational Free Energy 

* Expected Free Energy 

* Free Energy of the Expected Future 

* Helmholtz Free Energy 

* ....",,,
Core,Free Energy,Free Energy Principle,"A generalization of Predictive Coding (PC) according to which organisms minimize an upper bound on the Entropy of Sensory input  (or sensory signals) (the Free Energy). Under specific assumptions, Free Energy translates toPrediction error . ",A set of statistical principles that describe how Agents can maintain their self-organization  in the face of random fluctuations from the environment.,,,"An Agent that is consistent with the Free Energy Principle will be able to minimize Variational Free Energy by taking Actions or using Perception in a way that maximizes the Evidence for its Generative Model of the environment. 

The Free Energy Principle is a more general statement about specific kinds of self-organization in random Non-linear dynamical systems assuming that these systems have certain properties like Ergodicity (weakly mixing) and a Markov Blanket. According to the Free Energy Principle, systems that minimize Variational Free Energy will maintain their low (thermodynamic) Entropy structure through Autopoiesis in the face of random fluctuations in the environment. To do so, they must take Actions that maintain the integrity of their Markov Blanket and develop a Generative Model that can successfully predict future states of the environment based on the Sensory Data they receive through the Markov Blanket."
Core,Free Energy,Generalized Free Energy,Past Variational Free Energy plus future Expected Free Energy (each totaled over Policy).,,"Parr and Friston 2019 wrote “Crucially, this means the Generalized Free Energy  reduces to the Variational Free Energy  for outcomes that had been observed in the past.....Outcomes in the Generalized Free Energy formulation are represented explicitly as Beliefs. This means that the Prior over Sensory outcome is incorporated explicitly in the generative model.”",,
Core,Free Energy,Pragmatic Value,"Pragmatic Value  is the benefit to an organism of a given Policy  or Action , measured in terms of probability of a Policy  leading to Expectation of Random variable values that are aligned with the Preference of the Agent ",Pragmatic value describes the extent to which a given action is aligned with rewarding preferences over sensory outcomes.,,,
Core,Free Energy,Process Theory,"Dynamic or mechanistic Model or framework that is consistent with a broader or non-mechanistic/non-operational Principle, such as the Free Energy Principle . ",,"Friston in 2018 wrote “The distinction is between a State [theory] and Process Theory ; i.e., the difference between a normative principle that things may or may not conform to, and a Process Theory  or hypothesis about how that principle is realized”",,
Core,Free Energy,Variational,"Biologically: Said of the behavior of aNeuronal Ensemble that minimizes the error of quantities selected by that ensemble, by implementing an algorithm that approximates calculus of variations.",Mathematically: Using calculus of variationsto find functions that optimize the values of quantities that depend on those functions.,,,
Core,Free Energy,Variational Free Energy,"Measure that performs e.g. Inference on Sensory Data given a Generative Model , F. The two sources that composeVariational Free Energy  are Model overfitting and Model accuracy",,,,
Core,Markov Partitioning,Active States,"In the Friston Blanket formalism, the Blanket State are the Sense State (incoming Sensory input) and Active States (outgoing influence of Policy selection )",,"The Active States of the computer program are the statistical outputs that it presents, while the Sensory input Sense State are the incoming statistical dependencies. ","Canada and Kenya have many people involved in dance, really you could say these two are Active States ","Active States and Sense State make Blanket State, which partition Internal State and External State in the Markov Blanket partitioning formalism. "
Core,Markov Partitioning,Blanket State,"Set of states in the Markov Blanket Partition that make Internal State and External State have Conditional Probability that are independent. ",,,,
Core,Markov Partitioning,External State,"States with Conditional density independent from Internal State, conditioned on Blanket State. ",,,,
Core,Markov Partitioning,Friston Blanket,"Markov Blanket with partitioned Active States and Sense State . ",,,,
Core,Markov Partitioning,Hidden State,"Unobserved variable in Bayesian Inference , can reflect a Latent cause . ",,,,
Core,Markov Partitioning,Internal State,"States with Conditional density independent from External State , conditioned on Blanket State. ",,,,
Core,Markov Partitioning,Markov Blanket,"Markov Partitioning Model of System, reflecting Agent as delineated from the Niche via an Interface. The Markov Blanket Blanket State reflect the State(s) upon which Internal State and External State are conditionally independent. ",,,,
Core,Markov Partitioning,Markov Decision Process,"Bayesian Inference Model where Agent Generative Model  can implement Policy selection on Affordances reflected by Active States, while other features of the Generative Process are outside the Control (states) of the Agent .  ",,,,"Is Markov Blanket one way, and thus the Friston Blanket has x2 @markovboundaries linked to the decision making process. The probability and Preference Information Geometry  between the x2 markov boundaries at each nested levels being updated gives the @temporality at the heart of @activeinference"
Core,Markov Partitioning,Sense State,"In the Friston Blanket formalism, the Blanket State are the Sense State (incoming Sensory input) and Active States (outgoing influence of Policy selection )",,,,
Core,Agents in the Niche,Affordance,"Options or capacities for Action by an Agent ",,"“In this T-maze model, there are 3 Affordance for movement at the junction (Left, Right, Down).” ","“He didn’t have the Affordance to do that, but he did it anyway”. ",
Core,Agents in the Niche,Agent," Entity as modeled by Active Inference , with Internal State separated from External State by Blanket State ",,"“The ant nestmate is the Agent in the Active InferAnts model” ",“Calcium carbonate is the anti-caking Agent in this cookie”,Agent has Agency
Core,Agents in the Niche,Cognition,"An Agent modifying the weights of its Internal State for the purpose of Action Planning and/or Belief updating . (This is a @realistCounterpart of Goal-driven selection .) ",,BacillisAxelis345 engaged in Cognition to decide whether to eat or to escape.,,
Core,Agents in the Niche,Culture,"Culture is the Niche for social Agent, that structures their Regime of Attention ",,,,
Core,Agents in the Niche,Ensemble,Group of more than one Agent.,,"The ant colony from a Behavior / Collective behavior perspective is an Ensemble of nestmates. ",,"Can have Group Renormalization Theory aspect or Stigmergy or Swarm "
Core,Agents in the Niche,Generative Model,"A formalism that describes the mapping between Hidden State, and Expectations of Action Prediction , Sensory outcome . ","Recognition Model Update Internal State parameter  that correspond to External State  (including Hidden State causes of environment  states), Blanket State , and Internal State  (meta-modeling). In contrast, Generative Model  take those same Internal State  parameter  Estimator  and emit expected or plausible observations.",,,
Core,Agents in the Niche,Generative Process,"Underlying @dynamical process in the Niche giving rise to Agent Observation and @agent Action Prediction  ",Enactive ecological process using morphological computing processes where the Niche Regime of Attention @morphogenesis and generative model interact to create an embodied learning dyanamic.,The Generative Process generates Sensory Data.,The Agent  uses its Generative Process to determine future Hidden State of the environment.,"The Generative Process exists in certain States that are Hidden State from the perspective of the Agent. When in a state, from the statistical perspective, it can generate a Sensory outcome which is sensed by the Agent. The agent will use this Sensory Data to form a Generative Model which may or may not match the true Generative Process but will nonetheless allow it to predict future outcomes drawn from the Generative Process if it has a good Generative Model."
Core,Agents in the Niche,Narrative,"Information used by Agent in context of entity- and event-oriented Cognition, specifically Hierarchical Model (Hierarchically Mechanistic Mind ).    ",,,I wrote a Narrative about my time in graduate school.,
Core,Agents in the Niche,Niche,"Ecology System constituting the Generative Process (as Partitioned from the Agent who instantiates a Generative Model ). ",,,,
Core,Agents in the Niche,Non-Equilibrium Steady State,"Technically, a Non-Equilibrium Steady State requires a solution to the Fokker Planck equation (i.e., density dynamics). A nonequilibrium steady-state solution entails solenoidal (i.e., conservative or divergence free) dynamics that break detailed balance (and underwrite stochastic chaos ). In other words, The dynamics of systems at Non-Equilibrium Steady State  are not time reversible (unlike equilibrium steady states, in which the flow is entirely dissipative).","Generally, a Non-Equilibrium Steady State refers to a System with dynamics that are unchanging, or at Stationarity in some State. ",,,"Similar to Stationarity "
Core,Agents in the Niche,Particle,"An Agent consisting of Blanket State and Internal State , partitioned off from Niche .",,,,
Core,Agents in the Niche,Recognition Model,"Recognition Model is the kind of Model that affords Variational Inference, which lets us calculate or approximate a probability distribution. Recognition Model is a synonym for Variational Model.","In Dayan and Abbot (2001), the probability of a Hidden State (causes) given Sensory Data (effects) under some parameter. ","After constructing a Generative Model, an Agent can invert this model to obtain the Recognition Model which allows for the prediction of the Hidden State (causes) that generated some new Sensory Data.",,
Core,Agents in the Niche,Representation,"A structural correspondence between some Random variable  inside a System and some Random variable  outside the System  (isomorphism being the strongest kind of correspondence), such that the Systemengages in Inference carried out by the System maintains the correspondence",,,,
Core,Perception,Attention,"Broad sense: Generative Model that is aware of some Stimulus, reflected by its Salience ","Narrow sense: Attention modulates the  the confidence on the Precision of Sense State, reflecting Sensory input ",,,"Attention is structured in complex sociocultural Systems to realize a Regime of Attention "
Core,Perception,Evidence,"Data as recognized and interpreted by Generative Model of Agent ",,,,
Core,Perception,"Novelty ","The Internal State assumed by an Agent‘s epistemic Affordance, when unable to immediately (e.g. locally) resolve Uncertainty about the contingencies — i.e. the opportunity to resolve Uncertainty about ‘what would happen if I did that?’ (The Precision of this assumed Internal State has a distinctive, e.g. multimodal, distribution, i.e. exhibits Ambiguity .)",,,,
Core,Perception,Observation,"The Belief updating of an Internal State registered by a Sensory input, given the weighting assigned to that class of input in comparison with weighting of the competing Priors. (This is a narrow sense of “observation,” where the Agent is “looking for this kind of input.” This sense excludes situations where (a) an incoming stimulus with these attributes has already been explained-away or pre-discounted, or (b) the prior is so strongly weighted as to exclude updating in response to any inputs (other than, perhaps, “catastrophic” ones, as may occur in e.g. fainting, hysterical blindness).)","Any Sensory input, either discrete-valued or continuous-valued. (This is a broad sense.)",,,
Core,Perception,Perception,Posterior State Inference after each new Observation.,,,,
Core,Perception,Regime of Attention,"feedback mechanisms between practices in a Culture of scaffolding individuals’ Attention, that guide Agents’ style of Attention; act as determined by bodily, language, and contextual Cues in a given community; and are encoded in higher levels of the cortical hierarchy. ",,,,
Core,Perception,Salience,"The extent to which a Cue commands the Attention of an Agent given their Regime of Attention ",,,,"Related to Attention, for example of Affordance "
Core,"Information ",Complexity,"The extent to which an Agent must revise a Belief to explain incoming Sensory observations.  ",The Kullback-Leibler Divergence between the Prior and Posterior which is used in Bayesian model selection to find the simplest (least complex) model and avoid overfitting on the noise inherent in Sensory observations.,,,
Core,"Information ",Cue,"a Stimulus , event,  object , or Guidance signal  that serves to guide Behavior , such as a retrieval cue, or that acts as a @Signal to the presentation of another stimulus, event, or object, such as an unconditioned stimulus or reinforcement. (dictionary.apa.org)",,,,"Approach to discussing Symbol in the Niche and social Culture patterns. "
Core,"Information ",Data,Data are a set of values of qualitative or quantitative variables about one or more Agent  or object .,,,,"Evidence is Data that is evaluated by Agent in the context of their Generative Model "
Core,"Information ",Epistemic value,"is the value of Information gain or Expectation of reduction in Uncertainty about a State  with respect to a Policy, used in Policy selection ",,"When the environment contains Uncertainty I would like to undertake the action of Foraging for the sake of it to see if I can gather more relevant Observations to explain what is going on around me. Such relevant Observations have Epistemic value for me as an Agent. ",,"It is variously known as Bayesian surprise, epistemic affordance, the value of information, intrinsic motivation and so on."
Core,"Information ",Information,"Measured in bits, the reduction of Uncertainty on a Belief distribution of some type. Usually Syntactic (Shannon) but also can be Semantic (e.g. Bayesian ). ",,"There is more maximum Information in 1 terabyte than in 1 gigabyte. ","I listened to that podcast and the file checksum was OK but the Information was modified relative to the reference version. ",
Core,"Information ",Information Geometry,A Statistical manifold  each of whose points corresponds to a Probability distribution (e.g. the expectation and variance of a normal density).,,,,
Core,Systems,Hierarchical Model,"A hierarchy of Estimators, which operate at different spatiotemporal timescales (so they track features at different scales); all carrying out Predictive Processing ",,,,
Core,Systems,Living system,"Agent engaged in Autopoiesis ",,,,
Core,Systems,Multi-scale system,"Realism framing of Hierarchical Model ",,,,
Core,Systems,State space,Set of variables/parameters that describe a System .,A state space is the set of all possible configurations of a system,,,
Core,Systems,System,"Set of relations described by State space of a Model . ",Differentiable and Integratable in terms of Variables and functions.,,,
Supplement,,Abstract Action,,,,,
Supplement,,Abstract action prediction,,,,,
Supplement,,Abstract Bayesian Inference,,,,,
Supplement,,Abstract epistemic value,,,,,
Supplement,,Abstract External State,,,,,
Supplement,,Abstract Generative Model,,,,,
Supplement,,Abstract Hidden State,,,,,
Supplement,,Abstract Internal State,,,,,
Supplement,,Abstract Sensory State,,,,,
Supplement,,Abstract System,,,,,
Supplement,,AbstractAccuracy,,,,,
Supplement,,abstractCounterpart,"(abstractCounterpart ?AB ?PHYS) relates a Physical entity to an Abstract one which is an idealized model in some dimension of the Physical entity. ",Example: an Abstract GraphNode could be stated to be the counterpart of an actual Computer in a ComputerNetwork.,,,
Supplement,,Action and Planning as Divergence Minimization,,,,,
Supplement,,Action at a distance,,,,,
Supplement,,Action Integral,,,,,
Supplement,,Active Blockference,,,,,
Supplement,,Active learning,,,,,
Supplement,,active processes,,,,,
Supplement,,active processes,,,,,
Supplement,,Active Vision,"refers to the process of visual perceptions, in terms of oculomotor Sensorimotor Behavior and Cognitive System Generative Model ",refers to regime of visual perceptions through dynamical perturbations of light over the retina. As if feeling the textured light reflected off the niche surfaces,"Active Vision ",,"Epistemic value -driven Learning or Foraging  "
Supplement,,Agency based model,,,,,
Supplement,,Agency free model,,,,,
Supplement,,Algorithm,,,,,
Supplement,,Alignment,,,,,
Supplement,,analogy,,,,,
Supplement,,Analytical Philosophy,,,,,
Supplement,,Appraisal theories of emotion,,,,,
Supplement,,Attenuation of response,,,,,
Supplement,,Attracting set,,,,,
Supplement,,Augmented reality,,,,,
Supplement,,Autopoiesis,"Phenomena of a System that recapitulates the material and informational causes of its own composition/existence. ",,"In the right niche, cells can be considered to exhibit Autopoiesis at the System level.","The pile of sand quickly dissipated in the wind, however I still think it is my favorite example of long-range Autopoiesis . ",
Supplement,,Bayes-optimal control,,,,,
Supplement,,Bayesian,,,,,
Supplement,,Bayesian belief updating,,,,,
Supplement,,Bayesian Brain,,,,,
Supplement,,Bayesian mechanics,,,,,
Supplement,,Bayesian Model Selection,,,,,
Supplement,,Bayesian surprise,,,,,
Supplement,,Bethe approximation,,,,,
Supplement,,Blanket index,,,,,
Supplement,,Bottom-up attentional control,,,,,
Supplement,,categorical,,,,,
Supplement,,Category Theory,,,,,
Supplement,,changing mind (cognition),,,,,
Supplement,,changing the mind,,,,,
Supplement,,changing the world,,,,,
Supplement,,changing world (action),,,,,
Supplement,,chaos,,,,,
Supplement,,Circular causality,,,,,
Supplement,,Coarse graining,,,,,
Supplement,,Cognitive Science,,,,,
Supplement,,Cognitive System,,,,,
Supplement,,Cognitivism,,,,,
Supplement,,Collective behavior,,,,,
Supplement,,Conceptual metaphor,,,,,
Supplement,,Conditional density,,,,,
Supplement,,Conditional Probability,,,,,
Supplement,,Confidence,,,,,
Supplement,,Congruence,,,,,
Supplement,,Connectionism,,,,,
Supplement,,constraint,,,,,
Supplement,,Continental Philosophy,,,,,
Supplement,,Continuous state space,,,,,
Supplement,,Control (states),,,,,
Supplement,,Control theory,,,,,
Supplement,,Counterfactual,,,,,
Supplement,,Cybernetics,,,,,
Supplement,,Decision-making,"Within Active Inference , this is the same as Policy selection ",,,,
Supplement,,Density,,,,,
Supplement,,Deontic Action,,,,,
Supplement,,DeSci,,,,,
Supplement,,Development,,,,,
Supplement,,Discrete state space,,,,,
Supplement,,Dissisipation,,,,,
Supplement,,Distribution,,,,,
Supplement,,divergence,,,,,
Supplement,,Domain,,,,,
Supplement,,Domain-generality,,,,,
Supplement,,Domain-specificity,,,,,
Supplement,,Dynamic Causal Modelling,,,,,
Supplement,,Dynamic expectation maximization,,,,,
Supplement,,Dynamicism,,,,,
Supplement,,EcoEvoDevo,"Ecology, Evolution, Development",,,,
Supplement,,Ecology,,,,,
Supplement,,Embedded Embodied Encultured Enactive Inference,,,,,
Supplement,,Embodied Belief,,,,,
Supplement,,Embodied Cybernetic Complexity,,,,,
Supplement,,Emotion,,,,,
Supplement,,Empirical prior,,,,,
Supplement,,Enactivism,,,,,
Supplement,,Entropy,,,,,
Supplement,,Epistemic foraging,,,,,
Supplement,,Ergodicity,,,,,
Supplement,,Estimator,,,,,
Supplement,,Event-related potential,,,,,
Supplement,,Evolution,,,,,
Supplement,,Expectation maximization,,,,,
Supplement,,Expected Utility Theory,,,,,
Supplement,,Experience of body ownership,,,,,
Supplement,,Explaining Away,,,,,
Supplement,,Explanation,,,,,
Supplement,,Extended Cognition,,,,,
Supplement,,Exteroception,,,,,
Supplement,,Factor graph,,,,,
Supplement,,Falsification,,,,,
Supplement,,Far-from-equilibrium,,,,,
Supplement,,Filter,,,,,
Supplement,,fitness,,,,,
Supplement,,flow,,,,,
Supplement,,Fokker-Planck Equation,,,,,
Supplement,,"Foraging ",,,,,
Supplement,,Forney,,,,,
Supplement,,Friction,,,,,
Supplement,,Friston's Law,,,,,
Supplement,,"functional magnetic resonance imaging ",,,,,
Supplement,,Gauge theory,,,,,
Supplement,,Gaussian distribution,,,,,
Supplement,,Generalized coordinates,,,,,
Supplement,,Generalized Synchrony,,,,,
Supplement,,Generative density,,,,,
Supplement,,Generative modelling,,,,,
Supplement,,Gestalt,,,,,
