List,Term,German,Russian,Portuguese,Spanish,French,Italian,Hebrew,Czech,Persian,Let us know what to add!
Core,Inference,Schlussfolgern,Вывод,Inferência,Inferencia,inférence (f); déduction (f),Inferenza,הסקה,inference,استنباط,
Core,Information,Information,Информация,Informação,Información,Information,informazione,מידע,informace,اطلاعات,
Core,Information Geometry,,Информационная геометрия,Geometria de Informação,Geometría (f) de la información,géométrie (f) de l'information,geometria dell'informazione,גיאומטריית המידע,informační geometrie,هندسهٔ اطلاعات,
Core,Internal State,,Внутренние состояния,Estados Internos,Estados internos,état intérieur (m); état (m) interne,stati interni,מצבים פנימיים,vnitřní stav,حالت درونی,
Core,Learning,Lernen,Активное обучение,Aprendizagem Ativa,Aprendizaje Activo,apprentissage (m) actif,Apprendimento attivo,למידה פעילה,aktivní učení,یادگیری,
Core,Living system,lebendes System,Живая система/биологическая система,Sistema Vivo,Sistema vivo,Système Vivant,Sistema vivente,מרכת חייה,živý systém,سامانهٔ زنده,
Core,Markov Blanket,die Markov-Decke,Марковское ограждение,o Cobertor de Markov; manta de Markov; o envoltório de Markov,la manta markoviana,la couverture de Markov,la coperta di Markov,שמיכת מרקוב,Markovský obal,پوشش مارکوف,
Core,Markov Decision Process,,Марковский процесс принятия решений,Processo de decisão Markoviano,Proceso de decisión markoviana,processus (m) décisionnel de Markov,Processo decisional di tipo Marcoviano,תהליכי החלטה מרקוביאנים,Markovské rozhodovací procesy,فرآیند تصمیم‌گیری مارکوف,
Core,Multi-scale system,,Многомасштабная система,Sistema multiescala,Sistema multiescalar,système multi-échelle,sistema di tipo multi-scala,מודל מרובה קני מידה,vícestupňový systém,سامانهٔ چندمقیاسی,
Core,Narrative,,Нарратив,Narrativa,Narrativa,récit (m); narration (f),Narrazione,נרטיב,vyprávění,روایت (روایی),
Core,Niche,,Ниша,Nicho,Nicho,niche (f); créneau (m),Nicchia,כוך/נישה,výklenek,آشیان,
Core,Non-Equilibrium Steady State,der Nicht-Gleichgewichtszustand,Неравновесное устойчивое состояние,Estado de Equilíbrio não Estacionário,el estado de equilibrio no estacionario; el estado estacionario no equilibrado,(m) l'état d'équilibre non équilibré,il stato di equilibrio non-stazionario,מצב יציב שלא בשווי משקל,nerovnovážný ustálený stav,حالت پایای نامتعادل,
Core,"Novelty ",,Новизна,Novidade,Novedad,nouveauté (f),Novità,חידוש,novota,تازگی (نوظهوری),
Core,Observation,Beobachtung,Наблюдение,Observação,Observación,une observation,Osservazione,תצפית,postřeh,مشاهده,
Core,Outcome,Ergebnis,,,,,,,,برآمد,
Core,Particle,Teilchen,Частица,Partícula,Partícula,une particule,Particella,חלקיק,částice,ذره,
Core,Perception,Wahrnehmung,Восприятие/Воспринимание,Percepção,Percepción,la perception,Percezione,תפיסה,vjem,ادراک,
Core,Policy,,Правила,Prática Normativa,regla (f); práctica (f) normativa; estrategia (f); política (f),pratique normative (f); règles; politique (f); stratégie (f),Strategia,מדיניות,zásada,خط مشی,
Core,Policy selection,,Выбор правила,Seleção de prática normativa,selección (f) de la práctica normativa; selección (f) de políticas; selección (f) de política; selección (f) de reglas,sélection (f) de la pratique normative; sélection (f) de règle; sélection (f) de la stratégie; sélection (f) politique,Selezione della strategia,בחירת מדיניות,výběr zásady,انتخاب خط مشی,
Core,Posterior,hinten gelegen,Апостериорный,Posterior,Posterior,Postérieur(e/es/s),Precedente,פוסטריור,zadní/předcházející,پس‌آیند,
Core,Pragmatic Value,der pragmatische Wert,Прагматическая ценность,Valor Pragmático,el valor pragmático,valeur (f) pragmatique,valore pragmatico,ערך פרגמטי,pragmatická hodnota,ارزش کاربردی,
Core,Prediction,,Предсказание,Predição,Predicción,Une prédiction,Predizione,עקרון,předpověď,پیش‌بینی,
Core,Preference,,Предпочтение,Preferência,Preferencias,préférence (f); préféré (m),Preferenza,,přednost,ترجیح (برتری دادن، به‌شماری),
Core,Prior,,Приор,Anterior,Antecendete,,Precedente,,předchozí,پیش‌آیند,
Core,Process Theory,,Теория процессов,Teoria de Processos,Teoría de procesos,théorie (f) des processus,Teoria del processo,תאוריית תהליכים,teorie procesu,نظریهٔ فرآیند,
Core,Recognition Model,,Модели распознавания,Modelos de Reconhecimento,Modelo de reconocimiento,modèle (m) de reconnaissance,modelli di ricognizione,מודלי זיהוי,model rozpoznávání,مدل بازشناسی,
Core,Regime of Attention,,Режим внимания,Regime de Atenção,Régimen de Atención,régime (m) de soins; régime (m) d'attention; régime (m) attentionnel,regime di attenzione,משטר תשומת לב,režim pozornosti,نظام توجه,
Core,Representation,,Репрезентация,Representação,Representación,une représentation,Rappresentazione,ייצוג,reprezentace,بازنمود,
Core,Salience,,Значимость,Saliência,Saliencia,saillance (f); saillant (m),Saliente,בולטות,salience,برجستگی (اهمیت),
Core,Sense State,,Сенсорные состояния,Estados Sensoriais,Estados Sensoriales,états (m) sensoriels; états (m) de sens,saliente,מצבי חישה,smyslové stavy,حالت‌های حسی,
Core,State,,Состояние,Estado,Estado,un état,Stato,מצב,stav,حالت,
Core,State space,der Zustandsraum,Пространство состояний,o espaço de estados,el espacio de estado,(m) l’espace d'état;  l'espace des phases,il condizone dello spazio; il spazio di stato,מרחב מצבים,stavový prostor,فضای حالت,
Core,Stationarity,,Стационарность,estacionário,Fijo or estatico,stationnarité (f); fixe (m); statique (m),Fisso o statico,,stacionarita,پایداری,
Core,Surprise,Überraschung,Сюрприз,Surpresa,Sorpresa,La surprise,Sorpresa,הפתעה,překvapení,شگفتی,
Core,System,das System,Система,o sistema,el sistema,le système,Sistema,מערכת,systém,سامانه,
Core,Temporal Depth,,Темпоральная глубина,Profundidade Temporal,Profundidad temporal,profondeur (f) temporelle ??,Spessore temporale,עומק טמפורלי,časová hloubka,عمق زمانی,
Core,Uncertainty,,Неопределенность,Incerteza,Incertidumbre,l'incertitude,Incertezza,אי ודאות,nejistota,عدم قطعیت,
Core,Variational,,Вариационный,Variacional,Variacional,variationnel (m); variationnelle (f),Variazionale,משתנה,variační,فراگردان,
Core,Variational Free Energy,,Вариационная свободная энергия,Energia livre variacional,Energía libre variacional,énergie (f) libre variationnelle,"Energia libera variazionale
",אנרגיה חופשית משתנה,variační volná energie,انرژی آزاد فراگردان,
Supplement,Abstract Action,,,Ação,,,,,,,
Supplement,Abstract action prediction,,,Predição de Ação,,,,,,,
Supplement,Abstract Bayesian Inference,,,Inferência Bayesiana,,,,,,,
Supplement,Abstract epistemic value,,,Valor epistêmico,,,,,,,
Supplement,Abstract External State,,,Estado externo,,,,,,,
Supplement,Abstract Generative Model,,,Modelo Generativo,,,,,,,
Supplement,Abstract Hidden State,,,Estado oculto,,,,,,,
Supplement,Abstract Internal State,,,Estado interno,,,,,,,
Supplement,Abstract Sensory State,,,Estado sensorial,,,,,,,
Supplement,Abstract System,,,Sistema,,,,,,,
Supplement,AbstractAccuracy,,,Acurácia,,,,,,,
Supplement,abstractCounterpart,,,Contraparte,,,,,,,
Supplement,Action and Planning as Divergence Minimization,,,Ação e planejamento como minimização de divergência,,,,,,,
Supplement,Action at a distance,,,Ação à distância,,,,,,,
Supplement,Action Integral,,,Ação integral,,,,,,,
Supplement,Active Blockference,,,,,,,,,,
Supplement,Active learning,,,,,,,,,,
Supplement,active processes,,,,,,,,,,
Supplement,active processes,,,,,,,,,,
Supplement,Active Vision,,Активное зрение,Visão Ativa,Visión activa,,visione attiva,ראיה פעילה,aktivní vidění,,
Supplement,Agency based model,,,Modelo baseado na agência,,,,,,,
Supplement,Agency free model,,,Modelo livre de agência,,,,,,,
Supplement,Algorithm,,,Algoritmo,,,,,,,
Supplement,Alignment,,,Alinhamento,,,,,,,
Supplement,analogy,,,Analogia,,,,,,,
Supplement,Analytical Philosophy,,,,,,,,,,
Supplement,Appraisal theories of emotion,,,,,,,,,,
Supplement,Approximate Posterior,,,,,,,,,پس‌آیند تقریبی,
Supplement,Attenuation of response,,,,,,,,,,
Supplement,Attracting set,,,,,,,,,,
Supplement,Augmented reality,,,Realidade aumentada,,,,,,,
Supplement,Autopoiesis,,Аутопоэзис,Autopoiese,Autopoiesis,Autopoïèse,autopoiesi,אוטופואזה,,,
Supplement,Bayes-optimal control,,,,,,,,,,
Supplement,Bayesian,,,Bayesiano (a),,,,,,,
Supplement,Bayesian belief updating,,,,,,,,,,
Supplement,Bayesian Brain,,,Cérebro Bayesiano,,,,,,,
Supplement,Bayesian mechanics,,,,,,,,,,
Supplement,Bayesian Model Selection,,,,,,,,,,
Supplement,Bayesian surprise,,,Surpresa Bayesiana,,,,,,,
Supplement,Bethe approximation,,,,,,,,,,
Supplement,Blanket index,,,,,,,,,,
Supplement,Bottom-up attentional control,,,Controle atencional ascendente,,,,,,,
Supplement,categorical,,,,,,,,,,
Supplement,Category Theory,,,,,,,,,,
Supplement,changing mind (cognition),,,,,,,,,,
Supplement,changing the mind,,,,,,,,,,
Supplement,changing the world,,,,,,,,,,
Supplement,changing world (action),,,,,,,,,,
Supplement,chaos,,,Caos,,,,,,,
Supplement,Circular causality,,,Causalidade circular,,,,,,,
Supplement,Coarse graining,,,,,,,,,,
Supplement,Cognitive Science,,,Ciências Cognitivas,,,,,,,
Supplement,Cognitive System,,,Sistemas Cognitivos,,,,,,,
Supplement,Cognitivism,,,Cognitivismo,,,,,,,
Supplement,Collective behavior,,,Comportamento Coletivo,,,,,,,
Supplement,Conceptual metaphor,,,Metáfora Conceitual,,,,,,,
Supplement,Conditional density,,,Densidade Condicional,,,,,,,
Supplement,Conditional Probability,,,Probabilidade Condicional,,,,,,,
Supplement,Confidence,,,Intervalo de Confiança,,,,,,,
Supplement,Congruence,,,Congruência,,,,,,,
Supplement,Connectionism,,,Conexionismo,,,,,,,
Supplement,constraint,,,,,,,,,,
Supplement,Continental Philosophy,,,,,,,,,,
Supplement,Continuous state space,,,,,,,,,,
Supplement,Control (states),,,Controle (estados),,,,,,,
Supplement,Control theory,,,Teoria do Controle,,,,,,,
Supplement,Counterfactual,,,Contrafatual; Contrafactual,,,,,,,
Supplement,Cybernetics,,,Cibernética,,,,,,,
Supplement,Decision-making,,Принятие решений,Tomada de Decisão,Toma de decisiones,La prise de décisions,prendere decisioni,ביצוע החלטות,,,
Supplement,Density,,,Densidade,,,,,,,
Supplement,Deontic Action,,,Ação Deôntica,,,,,,,
Supplement,DeSci,,,,,,,,,,
Supplement,Development,,,Desenvolvimento,,,,,,,
Supplement,Discrete state space,,,,,,,,,,
Supplement,Dissisipation,,,Dissipação,,,,,,,
Supplement,Distribution,,,Distribuição,,,,,,,
Supplement,divergence,,,Divergência,,,,,,,
Supplement,Domain,,,Domínio,,,,,,,
Supplement,Domain-generality,,,,,,,,,,
Supplement,Domain-specificity,,,,,,,,,,
Supplement,Dynamic Causal Modelling,,,Modelagem causal dinâmica,,,,,,,
Supplement,Dynamic expectation maximization,,,Maximização de expectativa dinâmica,,,,,,,
Supplement,Dynamicism,,,Dinamicismo,,,,,,,
Supplement,EcoEvoDevo,,,"Ecologia, Evolução, Desenvolvimento",,,,,,,
Supplement,Ecology,,,Ecologia,,,,,,,
Supplement,Embedded Embodied Encultured Enactive Inference,,,,,,,,,,
Supplement,Embodied Belief,,,CrençaCorporificada,,,,,,,
Supplement,Embodied Cybernetic Complexity,,,Complexidade Cibernética Corporificada,,,,,,,
Supplement,Emotion,,,Emoção,,,,,,,
Supplement,Empirical prior,,,Anterior empírico,,,,,,,
Supplement,Enactivism,,,Enativismo,,,,,,,
Supplement,Entropy,,,Entropia,,,,,,,
Supplement,Epistemic foraging,,,,,,,,,,
Supplement,Ergodicity,,Эргодичность,Ergodicidade,Ergodicidad,,ergodicità,ארגודיות,,,
Supplement,Estimator,,,Estimador,,,,,,,
Supplement,Event-related potential,,,,,,,,,,
Supplement,Evolution,,,Evolução,,,,,,,
Supplement,Expectation maximization,,,Maximização de expectativa,,,,,,,
Supplement,Expected Utility Theory,,,Teoria da Utilidade Esperada,,,,,,,
Supplement,Experience of body ownership,,,,,,,,,,
Supplement,Explaining Away,,,Dissolver,,,,,,,
Supplement,Explanation,,,Explanação,,,,,,,
Supplement,Extended Cognition,,,Cognição Estendida,,,,,,,
Supplement,Exteroception,,,,,,,,,,
Supplement,Factor graph,,,,,,,,,,
Supplement,Falsification,,,Falsificação,,,,,,,
Supplement,Far-from-equilibrium,,,,,,,,,,
Supplement,Filter,,,,,,,,,,
Supplement,fitness,,,,,,,,,,
Supplement,flow,,,,,,,,,,
Supplement,Fokker-Planck Equation,,,Equação Fokker-Planck,,,,,,,
Supplement,"Foraging ",,,,,,,,,,
Supplement,Forney,,,,,,,,,,
Supplement,Friction,,,Fricção,,,,,,,
Supplement,Friston's Law,,,Lei de Friston,,,,,,,
Supplement,"functional magnetic resonance imaging ",,,Imagem por Ressonância Magnética Funcional,,,,,,,
Supplement,Gauge theory,,,,,,,,,,
Supplement,Gaussian distribution,,,Distribuição Gaussiana,,,,,,,
Supplement,Generalized coordinates,,,Coordenadas generalizadas,,,,,,,
Supplement,Generalized Synchrony,,,Sincronia generalizada,,,,,,,
Supplement,Generative density,,,Densidade Generativa,,,,,,,
Supplement,Generative modelling,,,Modelagem Generativa,,,,,,,
Supplement,Gestalt,,,Gestalt,,,,,,,
Supplement,Goal-driven selection,,,,,,,,,,
Supplement,Gradient Descent,,,,,,,,,,
Supplement,Graphical,,,Gráfico,,,,,,,
Supplement,Group Renormalization Theory,,,"Teoria de Grupo de Renormalização ",,,,,,,
Supplement,Guidance signal,,,,,,,,,,
Supplement,Habit learning/formation,,,Aprendizado/Formação de Hábito,,,,,,,
Supplement,Hamilton's Principle of Least Action,,,"Princípio Hamiltoniano da Menor Ação; Princípio de Hamilton de Mínima Ação ",,,,,,,
Supplement,Helmholtz Decomposition,,,,,,,,,,
Supplement,Helmholtz Free Energy,,,,,,,,,,
Supplement,Helmholtz machine,,,Máquina de Helmholtz,,,,,,,
Supplement,Hermeneutics,,,,,,,,,,
Supplement,Hierarchically Mechanistic Mind,,,Mente Hierarquicamente Mecanística,,,,,,,
Supplement,High road,,,,,,,,,,
Supplement,Homeostasis,,,Homeostase,,,,,,,
Supplement,Homeostatic system,,,Sistema homeostático,,,,,,,
Supplement,Hyperprior,,,Hiperanterior,,,,,,,
Supplement,Hypothesis,,,Hipótese,,,,,,,
Supplement,Information bottleneck,,,Gargalo de informação,,,,,,,
Supplement,Instrumentalism,,,Instrumentalismo,,,,,,,
Supplement,Interface,,,Interface,,,,,,,
Supplement,Interoception,,,Interocepção,,,,,,,
Supplement,Interoceptive sensitivity,,,Sensibilidade interoceptiva,,,,,,,
Supplement,Interpretation,,,Interpretação,,,,,,,
Supplement,Inverse problem,,,Problema inverso,,,,,,,
Supplement,Kullback-Leibler Divergence,,,Divergência de Kullback-Leibler,,,,,,,
Supplement,Lagrangian,,,,,,,,,,
Supplement,Latent cause,,Неявная причина,Causa Latente,Causa latente,,causa latente,סיבות חבויות,,,
Supplement,Lateral geniculate nucleus,,,Núcleo geniculado lateral,,,,,,,
Supplement,Least action,,,,,,,,,,
Supplement,Likelihood,,,Verossimilhança,,,,,,,
Supplement,link,,,,,,,,,,
Supplement,"Low road ",,,,,,,,,,
Supplement,Marginal approximation,,,Aproximação marginal,,,,,,,
Supplement,Markovian Monism,,Марковский монизм,Monismo Markoviano,,,,מוניזם מרקוביאני,,,
Supplement,Marr's Levels of Description,,,Níveis de Descrição de Marr,,,,,,,
Supplement,Material science,,,,,,,,,,
Supplement,maximum caliber,,,,,,,,,,
Supplement,Mean,,,Média,,,,,,,
Supplement,Mean field approximation,,,,,,,,,,
Supplement,Memory,,,Memória,,,,,,,
Supplement,Message Passing,,,Troca de Mensagem,,,,,,,
Supplement,Mismatch negativity,,,,,,,,,,
Supplement,Mode,,,Modo,,,,,,,
Supplement,Model,,,Modelo,,,,,,,
Supplement,Model accuracy,,,Acurácia do modelo,,,,,,,
Supplement,model evidence,,,,,,,,,,
Supplement,Model Inversion,,Инверсия модели,Inversão de Modelo,Inersión de modelo,modèle d'inversion,,היפוך מודל,,,
Supplement,Morphogenesis,,,Morfogenesis,,,,,,,
Supplement,Multisensory integration,,,Integração Multisensorial,,,,,,,
Supplement,Network,,,Network,,,,,,,
Supplement,Neuronal Ensemble,,,,,,,,,,
Supplement,Niche construction,,,Construção de Nicho,,,,,,,
Supplement,Noisy signal,,,Sinal de ruído,,,,,,,
Supplement,Non-linear dynamical systems,,,Sistemas dinâmicos não-lineares,,,,,,,
Supplement,normative,,,,,,,,,,
Supplement,Optimal control,,,Controle óptimo,,,,,,,
Supplement,overfitting,,,,,,,,,,
Supplement,Partially Observed Markov Decision Process,,,,,,,,,,
Supplement,Partition,,,Partição,,,,,,,
Supplement,path,,,,,,,,,,
Supplement,Path integral,,,,,,,,,,
Supplement,phenotype,,,,,,,,,,
Supplement,Policy posterior,,,,,,,,,,
Supplement,Policy prior,,,,,,,,,,
Supplement,population,,,,,,,,,,
Supplement,Precision,,,Precisão,,,,,,,
Supplement,Prediction error,,,Erro de predição,,,,,,,
Supplement,Prediction error minimization,,,Minimização de erro de predição,,,,,,,
Supplement,Predictive Coding,,,Codificação Preditiva,,,,,,,
Supplement,predictive machine,,,,,,,,,,
Supplement,Predictive Processing,,,Processamento Preditivo,,,,,,,
Supplement,Principle,,Принцип,Princípio,Principio,un principe,Principio,עקרון,,,
Supplement,Probability distribution,,,Distribuição de Probabilidade,,,,,,,
Supplement,Proprioception,,,,,,,,,,
Supplement,Quantum,,,,,,,,,,
Supplement,Quantum mechanics,,,,,,,,,,
Supplement,Quantum-like,,,,,,,,,,
Supplement,Qubit,,,,,,,,,,
Supplement,Random variable,,,Variável aleatória,,,,,,,
Supplement,Realism,,,Realismo,,,,,,,
Supplement,Receptive field,,,Campo receptivo,,,,,,,
Supplement,Recognition density,,,,,,,,,,
Supplement,Renormalization,,,,,,,,,,
Supplement,Representationalism,,,Representacionalismo,,,,,,,
Supplement,Reservoir Computing,,,,,,,,,,
Supplement,Reward,,,Recompensa,,,,,,,
Supplement,"Risk ",,Риск,Risco,Riesgo,le risque,Rischio,סיכון,,,
Supplement,Sample space,,,Espaço de amostra,,,,,,,
Supplement,Selection bias,,,,,,,,,,
Supplement,Selection history,,,,,,,,,,
Supplement,"Self-organization ",,,Auto-organização,,,,,,,
Supplement,Selfhood,,,,,,,,,,
Supplement,Semi-Markovian,,,Semi-Markoviano,,,,,,,
Supplement,Sense of agency,,,Sensação de agência,,,,,,,
Supplement,Sensorimotor,,,Sensoriomotor,,,,,,,
Supplement,Sensory attenuation,,,Atenuação sensorial,,,,,,,
Supplement,Sensory Data,,,Dado sensorial,,,,,,,
Supplement,Sensory input,,,Entrada sensorial,,,,,,,
Supplement,Sensory observation,,,,,,,,,,
Supplement,Sensory outcome,,,Saída sensorial,,,,,,,
Supplement,Sensory State,,,,,,,,,,
Supplement,Sensory states,,,,,,,,,,
Supplement,Sentience,,,,,,,,,,
Supplement,"Shared Generative Model ",,,Modelo generativo compartilhado,,,,,,,
Supplement,Signal,,,Sinal,,,,,,,
Supplement,Simulation,,,Simulação,,,,,,,
Supplement,solenoidal,,,Solenoidal,,,,,,,
Supplement,Sophisticated Inference,,,Inferência Sofisticada,,,,,,,
Supplement,spike-timing dependent plasticity,,,,,,,,,,
Supplement,Statistical manifold,,,,,,,,,,
Supplement,Statistical Parametric Mapping,,,,,,,,,,
Supplement,Stigmergy,,,,,,,,,,
Supplement,Stochastic,,,Escolástico,,,,,,,
Supplement,Subjective feeling states,,,Estados de sentimentos subjetivos,,,,,,,
Supplement,sufficient statistic,,,,,,,,,,
Supplement,Surprisal,,,Surprisal/ Alarme,,,,,,,
Supplement,Swarm,,,Enxame; Multidão,,,,,,,
Supplement,Symbol,,,Símbolo,,,,,,,
Supplement,Synergetics,,,Sinergético,,,,,,,
Supplement,T-Maze,,,,,,,,,,
Supplement,Teams,,,Times,,,,,,,
Supplement,Theory,,,Teoria,,,,,,,
Supplement,Thermodynamic system,,,Sistema termodinâmico,,,,,,,
Supplement,Thermostatistics,,,Termoestatística,,,,,,,
Supplement,Thinking Through Other Minds,,,Pensando através de outras mentes,,,,,,,
Supplement,time,,,,,,,,,,
Supplement,Top-down attentional control,,,Controle atencional descendente,,,,,,,
Supplement,Umwelt,,,Umwelt,,,,,,,
Supplement,Unidirectionality,,,Unidirecionalidade,,,,,,,
Supplement,Update,,,Atualização,,,,,,,
Supplement,Variance,,,Variância,,,,,,,
Supplement,Variational message passing,,,,,,,,,,
Supplement,Variational Niche Construction,,,Construção de Nicho Variacional,,,,,,,
Supplement,Variational principle,,,,,,,,,,
Supplement,"Von Economo neurons ",,,,,,,,,,
Supplement,Weak mixing,,,,,,,,,,
Supplement,Working memory,,,Memória de trabalho,,,,,,,
Supplement,World States,,,Estados do mundo,,,,,,,
Supplement,,,,,,,,,,,
Entailed,active,,,ativo,,,,,,,
Entailed,area,,,área,,,,,,,
Entailed,backbone,,,,,,,,,,
Entailed,brain,,,cérebro,,,,,,,
Entailed,causality,,,causalidade,,,,,,,
Entailed,classical physics,,,,,,,,,,
Entailed,computer,,,computador,,,,,,,
Entailed,concentration,,,concentração,,,,,,,
Entailed,concept,,,conceito,,,,,,,
Entailed,condition,,,,,,,,,,
Entailed,consensus,,,consenso,,,,,,,
Entailed,conversation,,,conversa,,,,,,,
Entailed,current,,,atual,,,,,,,
Entailed,default-mode,,,modo padrão,,,,,,,
Entailed,dynamics,,,dinâmica,,,,,,,
Entailed,ecosystem,,,,,,,,,,
Entailed,ego,,,ego,,,,,,,
Entailed,energy,,,energia,,,,,,,
Entailed,environment,,,ambiente,,,,,,,
Entailed,error,,,erro,,,,,,,
Entailed,feedback,,,feedback,,,,,,,
Entailed,field,,,campo,,,,,,,
Entailed,framework,,,quadro teórico / framework,,,,,,,
Entailed,free,,,livre,,,,,,,
Entailed,genetic,,,genética,,,,,,,
Entailed,hierarchical,,,hierárquico,,,,,,,
Entailed,idea,,,ideia,,,,,,,
Entailed,increase,,,aumenta,,,,,,,
Entailed,influence,,,influência,,,,,,,
Entailed,interpretation,,,interpretação,,,,,,,
Entailed,inverse,,,inverso,,,,,,,
Entailed,language,,,linguagem,,,,,,,
Entailed,Logic,,,lógica,,,,,,,
Entailed,machine,,,máquina,,,,,,,
Entailed,matrix,,,matriz,,,,,,,
Entailed,neuronal,,,neuronal,,,,,,,
Entailed,object,,,objeto,,,,,,,
Entailed,objective,,,objetivo,,,,,,,
Entailed,observer,,,observador,,,,,,,
Entailed,Ontology-to-Model Link,,,,,,,,,,
Entailed,opportunity,,,oportunidade,,,,,,,
Entailed,parameter,,,parâmetro,,,,,,,
