List	Term	Russian	Portuguese	Spanish	French	Italian	Hebrew	Czech
Core	Living system	Живая система/биологическая система	Sistema Vivo	Sistema vivo	Système Vivant	Sistema vivente	מרכת חייה	živý systém
Core	Process Theory	Теория процессов	Teoria de Processos	Teoría de procesos	théorie (f) des processus	Teoria del processo	תאוריית תהליכים	teorie procesu
Core	Agent	Агент	Agente	Agente	un agent	Agente	סוכן	agent
Core	State	Состояние	Estado	Estado	un état	Stato	מצב	stav
Core	Action	Действие	Ação	Acción	une action / une mesure	Azione	פעולה	akce
Core	Agency	Агентность	Agência	Agencia	une Agence	rappresentanza	סוכנות	agentura
Core	Belief	Убеждение	Crença	Creencia	une conviction/croyance	Credenza	אמונה	přesvědčení
Core	Observation	Наблюдение	Observação	Observación	une observation	Osservazione	תצפית	postřeh
Core	Particle	Частица	Partícula	Partícula	une particule	Particella	חלקיק	částice
Core	Prediction	Предсказание	Predição	Predicción	Une prédiction	Predizione	עקרון	předpověď
Core	Representation	Репрезентация	Representação	Representación	une représentation	Rappresentazione	ייצוג	reprezentace
Core	Pragmatic value	Прагматическая ценность	Valor Pragmático	el valor pragmático	valeur (f) pragmatique	valore pragmatico	ערך פרגמטי	pragmatická hodnota
Core	Variational	Вариационный	Variacional	Variacional	variationnel (m); variationnelle (f)	Variazionale	משתנה	variační
Core	Prior	Приор	Anterior	Antecendete		Precedente		předchozí
Entailed	active		ativo					
Entailed	area		área					
Entailed	backbone							
Entailed	brain		cérebro					
Entailed	causality		causalidade					
Entailed	computer		computador					
Entailed	concentration		concentração					
Entailed	concept		conceito					
Entailed	consensus		consenso					
Entailed	conversation		conversa					
Entailed	current		atual					
Entailed	default-mode		modo padrão					
Entailed	dynamics		dinâmica					
Entailed	ego		ego					
Entailed	energy		energia					
Entailed	environment		ambiente					
Entailed	error		erro					
Entailed	feedback		feedback					
Entailed	field		campo					
Entailed	framework		quadro teórico / framework					
Entailed	free		livre					
Entailed	genetic		genética					
Entailed	hierarchical		hierárquico					
Entailed	idea		ideia					
Entailed	increase		aumenta					
Entailed	influence		influência					
Entailed	interpretation		interpretação					
Entailed	inverse		inverso					
Entailed	language		linguagem					
Entailed	Logic		lógica					
Entailed	machine		máquina					
Entailed	matrix		matriz					
Entailed	neuronal		neuronal					
Entailed	object		objeto					
Entailed	objective		objetivo					
Entailed	observer		observador					
Entailed	Ontology-to-Model Link							
Entailed	opportunity		oportunidade					
Entailed	parameter		parâmetro					
Entailed	part		parte					
Entailed	perceptual inference		inferência perceptual					
Entailed	perspective		perspectiva					
Entailed	phase		fase					
Entailed	physics		física					
Entailed	play		jogar/jogo					
Entailed	probability		probabilidade					
Entailed	Probably Approximately Correct							
Entailed	problem		problema					
Entailed	propositional		proposicional					
Entailed	Propositional attitude		atitude proposicional					
Entailed	Psychological attitude		atitude psicológica					
Entailed	purpose		propósito					
Entailed	question		pergunta/questão					
Entailed	random		aleatório					
Entailed	recognition		reconhecimento					
Entailed	relative entropy		entropia relativa					
Entailed	represents		representa					
Entailed	resource		recurso					
Entailed	role		papel					
Entailed	science		ciência					
Entailed	selection		seleção					
Entailed	self-organization		auto-organização					
Entailed	social		social					
Entailed	states		estados					
Entailed	Stimulus		estímulo					
Entailed	technology		tecnologia					
Entailed	Thing		coisa					
Entailed	transition		transição					
Entailed	tree		árvore					
Entailed	understanding		entendimento					
Entailed	situation							
Entailed	condition							
Supplement	Autopoiesis	Аутопоэзис	Autopoiese	Autopoiesis	Autopoïèse	autopoiesi	אוטופואזה	
Supplement	Decision-making	Принятие решений	Tomada de Decisão	Toma de decisiones	La prise de décisions	prendere decisioni	ביצוע החלטות	
Supplement	Risk	Риск	Risco	Riesgo	le risque	Rischio	סיכון	
Supplement	Model Inversion	Инверсия модели	Inversão de Modelo	Inersión de modelo	modèle d'inversion		היפוך מודל	
Supplement	Principle	Принцип	Princípio	Principio	un principe	Principio	עקרון	
Supplement	Abstract Action		Ação					
Supplement	Abstract action prediction		Predição de Ação					
Supplement	Abstract Bayesian Inference		Inferência Bayesiana					
Supplement	Abstract epistemic value		Valor epistêmico					
Supplement	Abstract External State		Estado externo					
Supplement	Abstract Generative Model		Modelo Generativo					
Supplement	Abstract Hidden State		Estado oculto					
Supplement	Abstract Internal State		Estado interno					
Supplement	Abstract Sensory State		Estado sensorial					
Supplement	Abstract System		Sistema					
Supplement	AbstractAccuracy		Acurácia					
Supplement	abstractCounterpart		Contraparte					
Supplement	Action and Planning as Divergence Minimization		Ação e planejamento como minimização de divergência					
Supplement	Action at a distance		Ação à distância					
Supplement	Action Integral		Ação integral					
Supplement	Active Vision	Активное зрение	Visão Ativa	Visión activa		visione attiva	ראיה פעילה	aktivní vidění
Supplement	Agency based model		Modelo baseado na agência					
Supplement	Agency free model		Modelo livre de agência					
Supplement	Algorithm		Algoritmo					
Supplement	Alignment		Alinhamento					
Supplement	analogy		Analogia					
Supplement	Appraisal theories of emotion							
Supplement	Attenuation of response							
Supplement	Augmented reality		Realidade aumentada					
Supplement	Bayes-optimal control							
Supplement	Bayesian		Bayesiano (a)					
Supplement	Bayesian Brain		Cérebro Bayesiano					
Supplement	Bayesian surprise		Surpresa Bayesiana					
Supplement	Bethe approximation							
Supplement	Bottom-up attentional control		Controle atencional ascendente					
Supplement	chaos		Caos					
Supplement	Circular causality		Causalidade circular					
Supplement	Cognitive Science		Ciências Cognitivas					
Supplement	Cognitive System		Sistemas Cognitivos					
Supplement	Cognitivism		Cognitivismo					
Supplement	Collective behavior		Comportamento Coletivo					
Supplement	Conceptual metaphor		Metáfora Conceitual					
Supplement	Conditional density		Densidade Condicional					
Supplement	Conditional Probability		Probabilidade Condicional					
Supplement	Confidence		Intervalo de Confiança					
Supplement	Congruence		Congruência					
Supplement	Connectionism		Conexionismo					
Supplement	Control (states)		Controle (estados)					
Supplement	Control theory		Teoria do Controle					
Supplement	Counterfactual		Contrafatual; Contrafactual					
Supplement	Cybernetics		Cibernética					
Supplement	Density		Densidade					
Supplement	Deontic Action		Ação Deôntica					
Supplement	Development		Desenvolvimento					
Supplement	Dissisipation		Dissipação					
Supplement	Distribution		Distribuição					
Supplement	divergence		Divergência					
Supplement	Divergence (Kullback–Leibler)		Divergência de Kullback-Leibler					
Supplement	Domain		Domínio					
Supplement	Domain-generality							
Supplement	Domain-specificity							
Supplement	Dynamic causal modelling		Modelagem causal dinâmica					
Supplement	Dynamic expectation maximization		Maximização de expectativa dinâmica					
Supplement	Dynamicism		Dinamicismo					
Supplement	Ecology		Ecologia					
Supplement	Ecology, Evolution, Development		Ecologia, Evolução, Desenvolvimento					
Supplement	Embedded Embodied Encultured Enactive Inference							
Supplement	Embodied Cybernetic Complexity		Complexidade Cibernética Corporificada					
Supplement	EmbodiedBelief		CrençaCorporificada					
Supplement	Emotion		Emoção					
Supplement	Empirical prior		Anterior empírico					
Supplement	Enactivism		Enativismo					
Supplement	Entropy		Entropia					
Supplement	Ergodicity	Эргодичность	Ergodicidade	Ergodicidad		ergodicità	ארגודיות	
Supplement	Estimator		Estimador					
Supplement	Event-related potential (ERP)							
Supplement	Evolution		Evolução					
Supplement	Expectation maximization		Maximização de expectativa					
Supplement	Expected Utility Theory		Teoria da Utilidade Esperada					
Supplement	Experience of body ownership (EBO)							
Supplement	Explaining Away		Dissolver					
Supplement	Explanation		Explanação					
Supplement	Extended Cognition		Cognição Estendida					
Supplement	Factor graph							
Supplement	Falsification		Falsificação					
Supplement	Far-from-equilibrium							
Supplement	Fokker-Planck Equation		Equação Fokker-Planck					
Supplement	Foraging							
Supplement	Forney							
Supplement	Friction		Fricção					
Supplement	Friston's Law		Lei de Friston					
Supplement	functional magnetic resonance imaging (fMRI)		Imagem por Ressonância Magnética Funcional					
Supplement	Gaussian distribution		Distribuição Gaussiana					
Supplement	Generalized coordinates		Coordenadas generalizadas					
Supplement	Generalized Synchrony		Sincronia generalizada					
Supplement	Generative density		Densidade Generativa					
Supplement	Generative modelling		Modelagem Generativa					
Supplement	Gestalt		Gestalt					
Supplement	Goal-driven selection							
Supplement	Gradient Descent							
Supplement	Graphical		Gráfico					
Supplement	Group Renormalization Theory		Teoria de Grupo de Renormalização					
Supplement	Guidance signal							
Supplement	Habit learning/formation		Aprendizado/Formação de Hábito					
Supplement	Hamilton's Principle of Least Action		Princípio Hamiltoniano da Menor Ação; Princípio de Hamilton de Mínima Ação					
Supplement	Helmholtz machine		Máquina de Helmholtz					
Supplement	Hierarchically Mechanistic Mind		Mente Hierarquicamente Mecanística					
Supplement	Homeostasis		Homeostase					
Supplement	Homeostatic system		Sistema homeostático					
Supplement	Homeostatic system		Sistema homeostático					
Supplement	Hyperprior		Hiperanterior					
Supplement	Hypothesis		Hipótese					
Supplement	Information bottleneck		Gargalo de informação					
Supplement	Instrumentalism		Instrumentalismo					
Supplement	Interface		Interface					
Supplement	Interoception		Interocepção					
Supplement	Interoceptive sensitivity		Sensibilidade interoceptiva					
Supplement	Interpretation		Interpretação					
Supplement	Inverse problem		Problema inverso					
Supplement	Latent cause	Неявная причина	Causa Latente	Causa latente		causa latente	סיבות חבויות	
Supplement	Lateral geniculate nucleus		Núcleo geniculado lateral					
Supplement	Likelihood		Verossimilhança					
Supplement	Marginal approximation		Aproximação marginal					
Supplement	Markovian Monism	Марковский монизм	Monismo Markoviano				מוניזם מרקוביאני	
Supplement	Marr's Levels of Description		Níveis de Descrição de Marr					
Supplement	Material science							
Supplement	Mean		Média					
Supplement	Mean field approximation							
Supplement	Memory		Memória					
Supplement	Message Passing		Troca de Mensagem					
Supplement	Mismatch negativity							
Supplement	Mode		Modo					
Supplement	Model		Modelo					
Supplement	Model accuracy		Acurácia do modelo					
Supplement	Morphogenesis		Morfogenesis					
Supplement	Multisensory integration		Integração Multisensorial					
Supplement	Network		Network					
Supplement	Neuronal Ensemble							
Supplement	Niche construction		Construção de Nicho					
Supplement	Noisy signal		Sinal de ruído					
Supplement	Non-linear dynamical systems		Sistemas dinâmicos não-lineares					
Supplement	Optimal control		Controle óptimo					
Supplement	overfitting							
Supplement	Partition		Partição					
Supplement	Policy posterior							
Supplement	Policy prior							
Supplement	Precision		Precisão					
Supplement	Prediction error		Erro de predição					
Supplement	Prediction error minimization		Minimização de erro de predição					
Supplement	Predictive Coding		Codificação Preditiva					
Supplement	Predictive Processing		Processamento Preditivo					
Supplement	Probability distribution		Distribuição de Probabilidade					
Supplement	Random variable		Variável aleatória					
Supplement	Realism		Realismo					
Supplement	Receptive field		Campo receptivo					
Supplement	Recognition density							
Supplement	Representationalism		Representacionalismo					
Supplement	Reservoir Computing							
Supplement	Reward		Recompensa					
Supplement	Sample space		Espaço de amostra					
Supplement	Selection bias							
Supplement	Selection history							
Supplement	Self-organization		Auto-organização					
Supplement	Selfhood							
Supplement	Semi-Markovian		Semi-Markoviano					
Supplement	Sense of agency		Sensação de agência					
Supplement	Sensorimotor		Sensoriomotor					
Supplement	Sensory attenuation		Atenuação sensorial					
Supplement	Sensory attenuation							
Supplement	Sensory Data		Dado sensorial					
Supplement	Sensory input		Entrada sensorial					
Supplement	Sensory outcome		Saída sensorial					
Supplement	Sentience							
Supplement	Shared Generative Model		Modelo generativo compartilhado					
Supplement	Signal		Sinal					
Supplement	Simulation		Simulação					
Supplement	solenoidal		Solenoidal					
Supplement	Sophisticated Inference		Inferência Sofisticada					
Supplement	spike-timing dependent plasticity							
Supplement	Statistical manifold							
Supplement	Stigmergy							
Supplement	Stochastic		Escolástico					
Supplement	Subjective feeling states		Estados de sentimentos subjetivos					
Supplement	Surprisal		Surprisal/ Alarme					
Supplement	Swarm		Enxame; Multidão					
Supplement	Symbol		Símbolo					
Supplement	Synergetics		Sinergético					
Supplement	Teams		Times					
Supplement	Theory		Teoria					
Supplement	Thermodynamic system		Sistema termodinâmico					
Supplement	Thermostatistics		Termoestatística					
Supplement	Thinking Through Other Minds		Pensando através de outras mentes					
Supplement	Top-down attentional control		Controle atencional descendente					
Supplement	Umwelt		Umwelt					
Supplement	Unidirectionality		Unidirecionalidade					
Supplement	Update		Atualização					
Supplement	Variance		Variância					
Supplement	Variational Niche Construction		Construção de Nicho Variacional					
Supplement	Von Economo neurons							
Supplement	Weak mixing							
Supplement	Working memory		Memória de trabalho					
Supplement	World States		Estados do mundo					
Supplement	link							
Supplement	Variational principle							
Supplement	Variational message passing							
Supplement	Renormalization							
Supplement	Partially Observed Markov Decision Process (POMDP)							
Supplement	Least action							
Supplement	Hermeneutics							
Supplement	Epistemic foraging							
Supplement	Discrete state space							
Supplement	Continuous state space							
Supplement	Coarse graining							
Supplement	Bayesian mechanics							
Supplement	Bayesian belief updating							
Supplement	Attracting set							
Supplement	Active learning							
Supplement	Sensory observation							
Supplement	Path integral							
Supplement	Lagrangian							
Supplement	normative							
Supplement	High road							
Supplement	Low road							
Supplement	changing mind (cognition)							
Supplement	changing world (action)							
Supplement	active processes							
Supplement	predictive machine							
